Date,BND,VB,VV,VWO,VXUS
1/2/2015 16:00,82.65,116.28,94.31,39.56,48.21
1/5/2015 16:00,82.89,114.49,92.69,38.93,47.15
1/6/2015 16:00,83.13,113.03,91.79,38.74,46.79
1/7/2015 16:00,83.18,114.39,92.83,39.63,47.34
1/8/2015 16:00,83.05,116.21,94.58,40.3,47.94
1/9/2015 16:00,83.19,115.23,93.79,40.1,47.74
1/12/2015 16:00,83.3,114.69,93.05,39.74,47.55
1/13/2015 16:00,83.38,114.67,92.84,40.02,47.8
1/14/2015 16:00,83.57,114.25,92.29,39.87,47.6
1/15/2015 16:00,83.94,112.52,91.44,39.99,47.94
1/16/2015 16:00,83.69,114.28,92.58,40.39,48.41
1/20/2015 16:00,83.6,113.76,92.8,40.25,48.47
1/21/2015 16:00,83.44,113.99,93.31,41.15,48.93
1/22/2015 16:00,83.46,116.09,94.69,42.02,49.26
1/23/2015 16:00,83.73,115.88,94.17,41.66,48.92
1/26/2015 16:00,83.63,117.03,94.49,41.71,49.44
1/27/2015 16:00,83.68,116.4,93.3,41.49,49.39
1/28/2015 16:00,83.98,114.71,92.05,41,48.75
1/29/2015 16:00,83.89,115.92,92.86,41.04,49.22
1/30/2015 16:00,84.35,114.16,91.6,39.94,48.47
2/2/2015 16:00,84.08,115.12,92.8,40.65,49.19
2/3/2015 16:00,83.82,117.28,94.16,41.37,49.95
2/4/2015 16:00,83.85,116.77,93.79,41.09,49.55
2/5/2015 16:00,83.67,118.22,94.78,41.4,50.12
2/6/2015 16:00,83.13,117.9,94.56,40.72,49.44
2/9/2015 16:00,83.1,117.19,94.14,40.67,49.33
2/10/2015 16:00,82.95,117.94,95.15,40.6,49.58
2/11/2015 16:00,82.95,117.88,95.15,40.42,49.34
2/12/2015 16:00,82.99,119.23,96.07,41.36,50.14
2/13/2015 16:00,82.8,119.86,96.51,41.78,50.47
2/17/2015 16:00,82.47,120.07,96.63,41.65,50.63
2/18/2015 16:00,82.7,120.41,96.69,41.69,50.83
2/19/2015 16:00,82.63,120.35,96.63,41.56,50.77
2/20/2015 16:00,82.65,121.01,97.21,41.77,51.15
2/23/2015 16:00,82.82,120.98,97.15,41.37,50.94
2/24/2015 16:00,83.16,121.11,97.44,41.94,51.26
2/25/2015 16:00,83.24,121.21,97.38,41.8,51.37
2/26/2015 16:00,83.01,121.25,97.24,41.77,51.28
2/27/2015 16:00,83.08,120.78,96.92,41.8,51.27
3/2/2015 16:00,82.65,121.65,97.51,41.74,51.27
3/3/2015 16:00,82.55,121.04,97.15,41.36,51.01
3/4/2015 16:00,82.55,120.57,96.71,40.88,50.76
3/5/2015 16:00,82.6,120.74,96.89,40.8,50.79
3/6/2015 16:00,82.12,119.2,95.49,40.14,50.09
3/9/2015 16:00,82.22,119.56,95.91,39.98,50.12
3/10/2015 16:00,82.54,118.17,94.34,39.15,49.07
3/11/2015 16:00,82.63,118.86,94.17,39.46,49.2
3/12/2015 16:00,82.69,120.51,95.36,39.68,49.74
3/13/2015 16:00,82.61,119.88,94.81,39.2,49.4
3/16/2015 16:00,82.77,120.9,96.01,39.66,49.92
3/17/2015 16:00,82.84,121.23,95.75,39.91,49.9
3/18/2015 16:00,83.35,122.41,96.95,40.94,50.96
3/19/2015 16:00,83.1,122.29,96.52,40.22,50.34
3/20/2015 16:00,83.32,123.44,97.4,40.72,51.33
3/23/2015 16:00,83.36,123.26,97.19,40.84,51.57
3/24/2015 16:00,83.5,122.95,96.58,41,51.59
3/25/2015 16:00,83.37,120.53,94.79,40.22,50.92
3/26/2015 16:00,83.1,120.27,94.51,39.99,50.63
3/27/2015 16:00,83.18,120.96,94.81,40.08,50.67
3/30/2015 16:00,83.28,122.57,95.95,40.9,50.88
3/31/2015 16:00,83.37,122.56,95.2,40.87,50.35
4/1/2015 16:00,83.51,121.96,94.77,41.42,50.75
4/2/2015 16:00,83.4,122.37,95.2,42.06,51.21
4/6/2015 16:00,83.47,123.14,95.77,42.57,51.79
4/7/2015 16:00,83.52,122.31,95.55,42.47,51.76
4/8/2015 16:00,83.46,123.11,95.87,43.33,52.14
4/9/2015 16:00,83.28,122.84,96.28,43.89,52.34
4/10/2015 16:00,83.24,123.28,96.76,43.8,52.4
4/13/2015 16:00,83.26,123.11,96.37,43.65,52.11
4/14/2015 16:00,83.41,123.2,96.49,43.77,52.51
4/15/2015 16:00,83.49,124.02,96.97,44.03,52.82
4/16/2015 16:00,83.47,123.82,96.92,44.43,53.02
4/17/2015 16:00,83.61,122.12,95.82,43.52,52.31
4/20/2015 16:00,83.52,123.1,96.65,43.38,52.34
4/21/2015 16:00,83.42,123.04,96.56,43.72,52.73
4/22/2015 16:00,83.11,123.3,97.06,44.23,52.88
4/23/2015 16:00,83.27,123.99,97.3,44.45,53.15
4/24/2015 16:00,83.4,123.64,97.46,44.67,53.38
4/27/2015 16:00,83.34,122.5,97.05,44.86,53.66
4/28/2015 16:00,83.08,122.97,97.27,44.97,53.72
4/29/2015 16:00,82.82,122.09,96.87,44.49,53.31
4/30/2015 16:00,82.91,120.06,95.9,43.9,52.77
5/1/2015 16:00,82.5,121.01,96.92,44.16,53.18
5/4/2015 16:00,82.38,121.5,97.22,44.38,53.28
5/5/2015 16:00,82.25,119.82,96.07,43.92,52.55
5/6/2015 16:00,82.02,119.96,95.72,43.34,52.52
5/7/2015 16:00,82.19,120.45,96.1,43.28,52.31
5/8/2015 16:00,82.41,121.51,97.36,43.94,53.34
5/11/2015 16:00,81.98,121.5,96.92,43.52,52.91
5/12/2015 16:00,81.88,121.33,96.61,43.4,52.87
5/13/2015 16:00,81.84,121.44,96.62,43.51,53.16
5/14/2015 16:00,82,122.54,97.62,43.92,53.79
5/15/2015 16:00,82.33,122.65,97.73,44.37,53.94
5/18/2015 16:00,82.03,123.75,98.06,43.94,53.68
5/19/2015 16:00,81.85,123.53,97.99,44.04,53.53
5/20/2015 16:00,81.85,123.65,97.93,43.98,53.6
5/21/2015 16:00,82.11,123.65,98.16,43.85,53.82
5/22/2015 16:00,82.06,123.45,98.01,43.96,53.57
5/26/2015 16:00,82.26,122.24,97.01,43.31,52.66
5/27/2015 16:00,82.3,123.38,97.85,43.42,53.06
