Date,BTC,ETH,XRP,ADA
11/19/2015,326.41,N/A,N/A,N/A
11/20/2015,322.39,N/A,N/A,N/A
11/21/2015,327,N/A,N/A,N/A
11/22/2015,323.71,N/A,N/A,N/A
11/23/2015,323,N/A,N/A,N/A
11/24/2015,321,N/A,N/A,N/A
11/25/2015,328.98,N/A,N/A,N/A
11/26/2015,352.57,N/A,N/A,N/A
11/27/2015,358.19,N/A,N/A,N/A
11/28/2015,357.24,N/A,N/A,N/A
11/29/2015,372.24,N/A,N/A,N/A
11/30/2015,376.86,N/A,N/A,N/A
12/1/2015,362.68,N/A,N/A,N/A
12/2/2015,360,N/A,N/A,N/A
12/3/2015,361.77,N/A,N/A,N/A
12/4/2015,363.98,N/A,N/A,N/A
12/5/2015,387.99,N/A,N/A,N/A
12/6/2015,387.55,N/A,N/A,N/A
12/7/2015,394.73,N/A,N/A,N/A
12/8/2015,418.94,N/A,N/A,N/A
12/9/2015,418.39,N/A,N/A,N/A
12/10/2015,415.68,N/A,N/A,N/A
12/11/2015,452.95,N/A,N/A,N/A
12/12/2015,436.87,N/A,N/A,N/A
12/13/2015,433.83,N/A,N/A,N/A
12/14/2015,444.01,N/A,N/A,N/A
12/15/2015,464.27,N/A,N/A,N/A
12/16/2015,453.97,N/A,N/A,N/A
12/17/2015,455.5,N/A,N/A,N/A
12/18/2015,463.17,N/A,N/A,N/A
12/19/2015,461.29,N/A,N/A,N/A
12/20/2015,442.22,N/A,N/A,N/A
12/21/2015,436.81,N/A,N/A,N/A
12/22/2015,433.92,N/A,N/A,N/A
12/23/2015,442.43,N/A,N/A,N/A
12/24/2015,455.74,N/A,N/A,N/A
12/25/2015,455.84,N/A,N/A,N/A
12/26/2015,419.41,N/A,N/A,N/A
12/27/2015,424.72,N/A,N/A,N/A
12/28/2015,421.94,N/A,N/A,N/A
12/29/2015,433.89,N/A,N/A,N/A
12/30/2015,427.95,N/A,N/A,N/A
12/31/2015,430.35,N/A,N/A,N/A
1/1/2016,435.66,N/A,N/A,N/A
1/2/2016,435.4,N/A,N/A,N/A
1/3/2016,431.91,N/A,N/A,N/A
1/4/2016,433.85,N/A,N/A,N/A
1/5/2016,433.34,N/A,N/A,N/A
1/6/2016,430.87,N/A,N/A,N/A
