Date,BIV,BSV,VB,VV,VXUS
1/2/2015 16:00,84.87,79.95,116.28,94.31,48.21
1/5/2015 16:00,85.19,80.02,114.49,92.69,47.15
1/6/2015 16:00,85.57,80.09,113.03,91.79,46.79
1/7/2015 16:00,85.6,80.16,114.39,92.83,47.34
1/8/2015 16:00,85.44,80.17,116.21,94.58,47.94
1/9/2015 16:00,85.72,80.25,115.23,93.79,47.74
1/12/2015 16:00,85.95,80.27,114.69,93.05,47.55
1/13/2015 16:00,86.12,80.35,114.67,92.84,47.8
1/14/2015 16:00,86.34,80.48,114.25,92.29,47.6
1/15/2015 16:00,86.78,80.64,112.52,91.44,47.94
1/16/2015 16:00,86.35,80.58,114.28,92.58,48.41
1/20/2015 16:00,86.45,80.5,113.76,92.8,48.47
1/21/2015 16:00,86.21,80.41,113.99,93.31,48.93
1/22/2015 16:00,86.05,80.39,116.09,94.69,49.26
1/23/2015 16:00,86.47,80.44,115.88,94.17,48.92
1/26/2015 16:00,86.37,80.41,117.03,94.49,49.44
1/27/2015 16:00,86.47,80.45,116.4,93.3,49.39
1/28/2015 16:00,86.95,80.53,114.71,92.05,48.75
1/29/2015 16:00,86.78,80.51,115.92,92.86,49.22
1/30/2015 16:00,87.29,80.71,114.16,91.6,48.47
2/2/2015 16:00,87.09,80.56,115.12,92.8,49.19
2/3/2015 16:00,86.64,80.46,117.28,94.16,49.95
2/4/2015 16:00,86.71,80.5,116.77,93.79,49.55
2/5/2015 16:00,86.56,80.49,118.22,94.78,50.12
2/6/2015 16:00,85.8,80.18,117.9,94.56,49.44
2/9/2015 16:00,85.67,80.16,117.19,94.14,49.33
2/10/2015 16:00,85.59,80.09,117.94,95.15,49.58
2/11/2015 16:00,85.57,80.09,117.88,95.15,49.34
2/12/2015 16:00,85.67,80.14,119.23,96.07,50.14
2/13/2015 16:00,85.53,80.11,119.86,96.51,50.47
2/17/2015 16:00,85.06,80.04,120.07,96.63,50.63
2/18/2015 16:00,85.44,80.16,120.41,96.69,50.83
2/19/2015 16:00,85.26,80.11,120.35,96.63,50.77
2/20/2015 16:00,85.19,80.11,121.01,97.21,51.15
2/23/2015 16:00,85.44,80.15,120.98,97.15,50.94
2/24/2015 16:00,85.94,80.31,121.11,97.44,51.26
2/25/2015 16:00,86.14,80.3,121.21,97.38,51.37
2/26/2015 16:00,85.62,80.19,121.25,97.24,51.28
2/27/2015 16:00,85.87,80.24,120.78,96.92,51.27
3/2/2015 16:00,85.27,80.08,121.65,97.51,51.27
3/3/2015 16:00,85.11,79.98,121.04,97.15,51.01
3/4/2015 16:00,85.1,80.02,120.57,96.71,50.76
3/5/2015 16:00,85.22,80.1,120.74,96.89,50.79
3/6/2015 16:00,84.58,79.91,119.2,95.49,50.09
3/9/2015 16:00,84.76,79.98,119.56,95.91,50.12
3/10/2015 16:00,84.94,80.04,118.17,94.34,49.07
3/11/2015 16:00,85.12,80.06,118.86,94.17,49.2
3/12/2015 16:00,85.24,80.14,120.51,95.36,49.74
3/13/2015 16:00,85.05,80.13,119.88,94.81,49.4
3/16/2015 16:00,85.21,80.11,120.9,96.01,49.92
3/17/2015 16:00,85.29,80.09,121.23,95.75,49.9
3/18/2015 16:00,86.05,80.4,122.41,96.95,50.96
3/19/2015 16:00,85.7,80.25,122.29,96.52,50.34
3/20/2015 16:00,86.05,80.4,123.44,97.4,51.33
3/23/2015 16:00,86.19,80.41,123.26,97.19,51.57
3/24/2015 16:00,86.36,80.41,122.95,96.58,51.59
3/25/2015 16:00,86.14,80.38,120.53,94.79,50.92
3/26/2015 16:00,85.84,80.35,120.27,94.51,50.63
3/27/2015 16:00,86.05,80.41,120.96,94.81,50.67
3/30/2015 16:00,86.07,80.44,122.57,95.95,50.88
3/31/2015 16:00,86.21,80.52,122.56,95.2,50.35
4/1/2015 16:00,86.4,80.46,121.96,94.77,50.75
4/2/2015 16:00,86.27,80.48,122.37,95.2,51.21
4/6/2015 16:00,86.38,80.61,123.14,95.77,51.79
4/7/2015 16:00,86.46,80.55,122.31,95.55,51.76
4/8/2015 16:00,86.4,80.49,123.11,95.87,52.14
4/9/2015 16:00,86.13,80.41,122.84,96.28,52.34
4/10/2015 16:00,86.1,80.41,123.28,96.76,52.4
4/13/2015 16:00,86.14,80.46,123.11,96.37,52.11
4/14/2015 16:00,86.34,80.48,123.2,96.49,52.51
4/15/2015 16:00,86.44,80.55,124.02,96.97,52.82
4/16/2015 16:00,86.52,80.57,123.82,96.92,53.02
4/17/2015 16:00,86.55,80.56,122.12,95.82,52.31
4/20/2015 16:00,86.51,80.52,123.1,96.65,52.34
4/21/2015 16:00,86.44,80.52,123.04,96.56,52.73
4/22/2015 16:00,86.08,80.41,123.3,97.06,52.88
4/23/2015 16:00,86.28,80.48,123.99,97.3,53.15
4/24/2015 16:00,86.47,80.53,123.64,97.46,53.38
4/27/2015 16:00,86.42,80.51,122.5,97.05,53.66
4/28/2015 16:00,86.06,80.45,122.97,97.27,53.72
4/29/2015 16:00,85.76,80.43,122.09,96.87,53.31
4/30/2015 16:00,85.77,80.37,120.06,95.9,52.77
5/1/2015 16:00,85.25,80.21,121.01,96.92,53.18
5/4/2015 16:00,85.18,80.22,121.5,97.22,53.28
5/5/2015 16:00,85.01,80.24,119.82,96.07,52.55
